transaction_id,customer_id,product_id,transaction_date,Transaction Month,online_order,order_status,standard_cost,product_first_sold_date,Profit,list_price,product_line,product_class,product_size
411,3355,62,12/30/2017,December,FALSE,Approved,298.72,6/23/1993,179.44,478.16,Standard,medium,medium
606,2878,70,12/30/2017,December,FALSE,Approved,297.43,7/26/1999,198.29,495.72,Standard,high,medium
748,2865,80,12/30/2017,December,TRUE,Approved,596.55,5/18/2012,872.89,1469.44,Standard,medium,large
1033,934,49,12/30/2017,December,FALSE,Approved,400.13,10/4/1997,133.38,533.51,Road,medium,medium
1697,2421,56,12/30/2017,December,TRUE,Approved,137.9,1/21/1991,45.96,183.86,Standard,medium,medium
2074,675,12,12/30/2017,December,TRUE,Approved,161.6,5/5/2010,1069.55,1231.15,Standard,medium,medium
2285,3216,95,12/30/2017,December,TRUE,Approved,528.43,3/29/2016,41.13,569.56,Standard,medium,large
2950,447,30,12/30/2017,December,FALSE,Approved,448.9,7/12/1994,299.27,748.17,Standard,high,medium
3254,1000,75,12/30/2017,December,FALSE,Approved,863.95,5/22/2006,1010.02,1873.97,Touring,medium,large
3938,993,95,12/30/2017,December,FALSE,Approved,933.84,1/25/1997,139.23,1073.07,Touring,low,medium
4669,1052,29,12/30/2017,December,FALSE,Approved,230.09,11/3/2000,834.94,1065.03,Standard,medium,medium
5651,2713,25,12/30/2017,December,TRUE,Approved,829.65,5/26/1993,709.34,1538.99,Road,medium,medium
7311,1328,1,12/30/2017,December,FALSE,Approved,954.82,9/15/2012,448.68,1403.5,Standard,medium,medium
7518,3433,65,12/30/2017,December,FALSE,Approved,778.69,5/21/2015,1028.76,1807.45,Standard,medium,medium
7547,1407,23,12/30/2017,December,TRUE,Approved,612.88,6/23/1999,75.75,688.63,Mountain,low,small
8111,1970,79,12/30/2017,December,TRUE,Approved,818.01,9/9/2003,737.57,1555.58,Standard,medium,medium
9158,86,88,12/30/2017,December,TRUE,Approved,1479.11,7/15/1993,182.81,1661.92,Standard,high,small
9820,1425,31,12/30/2017,December,TRUE,Approved,205.36,3/22/2002,547.28,752.64,Standard,medium,medium
10905,2659,0,12/30/2017,December,FALSE,Approved,75.26,1/16/2004,25.09,100.35,Standard,medium,medium
11701,1453,93,12/30/2017,December,TRUE,Approved,874.9,2/2/2006,583.27,1458.17,Standard,high,medium
12453,151,12,12/30/2017,December,FALSE,Approved,161.6,11/5/2010,1069.55,1231.15,Standard,medium,medium
12667,1594,89,12/30/2017,December,TRUE,Approved,57.74,7/9/2016,1305.25,1362.99,Touring,medium,large
12826,3016,11,12/30/2017,December,TRUE,Approved,1580.47,3/3/2014,195.34,1775.81,Standard,medium,small
13575,2396,98,12/30/2017,December,FALSE,Approved,215.03,5/6/1991,143.36,358.39,Standard,high,medium
15270,195,3,12/30/2017,December,FALSE,Approved,388.92,9/15/2012,1702.55,2091.47,Standard,medium,large
15757,3130,30,12/30/2017,December,FALSE,Approved,448.9,11/10/1991,299.27,748.17,Standard,high,medium
16166,2345,89,12/30/2017,December,FALSE,Approved,57.74,10/10/2002,1305.25,1362.99,Touring,medium,large
16258,2055,14,12/30/2017,December,TRUE,Approved,1105.75,10/24/1995,737.17,1842.92,Standard,high,large
16759,256,27,12/30/2017,December,FALSE,Approved,154.4,6/7/2010,903.11,1057.51,Standard,low,medium
17182,3169,26,12/30/2017,December,TRUE,Approved,762.63,11/22/2016,1230.3,1992.93,Standard,medium,medium
17394,933,20,12/30/2017,December,FALSE,Approved,1580.47,4/5/1996,195.34,1775.81,Standard,medium,small
18609,2372,27,12/30/2017,December,FALSE,Approved,388.72,6/23/1999,110.81,499.53,Standard,medium,medium
19346,543,4,12/30/2017,December,FALSE,Approved,677.48,4/16/2011,451.65,1129.13,Standard,high,medium
19907,1721,41,12/30/2017,December,FALSE,Approved,748.9,12/7/2005,209.84,958.74,Standard,low,medium
19959,1787,4,12/30/2017,December,FALSE,Approved,99.59,10/22/2005,1383.61,1483.2,Standard,medium,medium
983,729,21,12/29/2017,December,FALSE,Approved,380.74,11/10/1991,690.49,1071.23,Standard,medium,large
1015,2369,35,12/29/2017,December,TRUE,Approved,154.4,3/19/2008,903.11,1057.51,Standard,low,medium
1041,1607,30,12/29/2017,December,FALSE,Approved,448.9,3/18/2003,299.27,748.17,Standard,high,medium
2257,2908,31,12/29/2017,December,TRUE,Approved,173.18,7/20/1999,57.73,230.91,Standard,medium,medium
4066,886,81,12/29/2017,December,FALSE,Approved,521.94,7/10/1991,64.51,586.45,Standard,medium,small
5658,2555,38,12/29/2017,December,TRUE,Approved,826.51,3/16/2011,751.02,1577.53,Standard,medium,medium
6089,1390,89,12/29/2017,December,FALSE,Approved,582.48,6/7/2010,1230.27,1812.75,Standard,medium,large
6110,884,94,12/29/2017,December,FALSE,Approved,993.66,6/9/2013,641.64,1635.3,Standard,medium,large
6344,1629,49,12/29/2017,December,TRUE,Approved,400.13,6/4/2012,133.38,533.51,Road,medium,medium
6479,2365,29,12/29/2017,December,TRUE,Approved,407.54,3/22/2002,135.85,543.39,Road,medium,medium
7139,1453,9,12/29/2017,December,FALSE,Approved,1082.36,8/5/1991,133.78,1216.14,Standard,medium,small
7742,3315,43,12/29/2017,December,FALSE,Approved,649.49,4/12/1993,502.47,1151.96,Standard,medium,medium
8352,3262,99,12/29/2017,December,TRUE,Approved,770.89,8/10/1994,456.45,1227.34,Standard,medium,medium
9508,1120,18,12/29/2017,December,TRUE,Approved,431.45,3/12/2013,143.82,575.27,Standard,medium,medium
10996,856,61,12/29/2017,December,TRUE,Approved,56.93,5/18/2012,14.23,71.16,Standard,low,medium
11522,76,22,12/29/2017,December,TRUE,Approved,431.45,4/5/1996,143.82,575.27,Standard,medium,medium
11564,2929,36,12/29/2017,December,TRUE,Approved,507.58,12/19/1995,437.46,945.04,Standard,low,medium
11679,1991,32,12/29/2017,December,FALSE,Approved,211.37,3/18/2003,431.33,642.7,Standard,medium,medium
13208,3374,57,12/29/2017,December,FALSE,Approved,260.14,1/21/1991,1630.25,1890.39,Touring,medium,large
13226,1906,41,12/29/2017,December,TRUE,Approved,312.74,5/10/1997,104.24,416.98,Road,medium,medium
13311,612,83,12/29/2017,December,TRUE,Cancelled,675.03,9/16/2013,1408.91,2083.94,Touring,medium,large
13539,1538,0,12/29/2017,December,FALSE,Approved,53.62,12/2/2012,17.87,71.49,Standard,medium,medium
13894,224,15,12/29/2017,December,TRUE,Approved,748.9,12/7/2005,209.84,958.74,Standard,low,medium
14491,1530,90,12/29/2017,December,TRUE,Approved,290.41,11/3/2000,72.6,363.01,Standard,low,medium
15159,1052,64,12/29/2017,December,TRUE,Approved,1759.85,8/24/2011,217.51,1977.36,Standard,high,small
15471,2693,0,12/29/2017,December,TRUE,Approved,53.62,9/15/2012,17.87,71.49,Standard,medium,medium
15638,2130,79,12/29/2017,December,TRUE,Approved,675.03,8/2/2015,1408.91,2083.94,Touring,medium,large
16354,2152,7,12/29/2017,December,TRUE,Approved,234.43,8/5/2003,745.94,980.37,Road,low,medium
16362,1470,0,12/29/2017,December,TRUE,Approved,131.92,2/16/2003,43.97,175.89,Standard,medium,small
17320,2236,51,12/29/2017,December,TRUE,Approved,1203.4,10/4/1997,802.26,2005.66,Standard,high,medium
17993,793,95,12/29/2017,December,FALSE,Approved,933.84,8/25/1997,139.23,1073.07,Touring,low,medium
18200,1478,5,12/29/2017,December,FALSE,Approved,677.48,8/9/2005,451.65,1129.13,Standard,high,medium
18326,964,25,12/29/2017,December,TRUE,Approved,1203.4,4/10/2012,802.26,2005.66,Standard,high,medium
18428,739,34,12/29/2017,December,FALSE,Approved,464.72,3/18/2003,309.81,774.53,Road,high,large
18480,1794,96,12/29/2017,December,FALSE,Approved,1043.77,10/10/2002,129.01,1172.78,Road,low,small
18632,2922,54,12/29/2017,December,TRUE,Approved,13.44,10/18/2015,1279.4,1292.84,Standard,medium,medium
18659,322,34,12/29/2017,December,TRUE,Approved,464.72,7/12/1994,309.81,774.53,Road,high,large
18866,3427,71,12/29/2017,December,FALSE,Approved,1105.75,12/6/2016,737.17,1842.92,Standard,high,large
19091,2082,60,12/29/2017,December,FALSE,Approved,1759.85,8/24/2011,217.51,1977.36,Standard,high,small
19340,2029,12,12/29/2017,December,TRUE,Approved,161.6,8/17/2004,1069.55,1231.15,Standard,medium,medium
19385,106,0,12/29/2017,December,TRUE,Approved,53.62,3/3/2014,17.87,71.49,Standard,medium,medium
19699,239,75,12/29/2017,December,FALSE,Approved,863.95,5/22/2006,1010.02,1873.97,Touring,medium,large
260,3393,31,12/28/2017,December,FALSE,Approved,173.18,3/16/2011,57.73,230.91,Standard,medium,medium
656,3470,26,12/28/2017,December,FALSE,Approved,762.63,8/2/2015,1230.3,1992.93,Standard,medium,medium
750,2195,75,12/28/2017,December,FALSE,Approved,863.95,7/10/1991,1010.02,1873.97,Touring,medium,large
802,772,36,12/28/2017,December,FALSE,Approved,507.58,12/19/1995,437.46,945.04,Standard,low,medium
1492,1623,0,12/28/2017,December,FALSE,Approved,137.9,1/21/1991,45.96,183.86,Standard,medium,medium
1561,1545,46,12/28/2017,December,TRUE,Approved,74.51,11/25/2001,1215.34,1289.85,Standard,low,medium
1880,2780,23,12/28/2017,December,FALSE,Approved,612.88,5/7/2011,75.75,688.63,Mountain,low,small
2079,1297,77,12/28/2017,December,TRUE,Approved,795.1,1/10/2011,445.21,1240.31,Road,medium,large
2104,3031,47,12/28/2017,December,TRUE,Approved,1531.42,10/1/2006,189.28,1720.7,Road,low,small
2643,2705,42,12/28/2017,December,TRUE,Approved,1610.9,3/19/2008,199.1,1810,Road,medium,small
2934,673,57,12/28/2017,December,FALSE,Approved,260.14,10/18/2015,1630.25,1890.39,Touring,medium,large
4642,1748,82,12/28/2017,December,FALSE,Approved,689.18,5/10/2005,459.46,1148.64,Standard,high,medium
4787,2464,64,12/28/2017,December,FALSE,Approved,596.55,5/18/2012,872.89,1469.44,Standard,medium,large
4856,2418,68,12/28/2017,December,TRUE,Approved,44.71,10/24/1995,1592.19,1636.9,Standard,medium,medium
4996,946,12,12/28/2017,December,TRUE,Approved,709.48,7/25/2004,1055.82,1765.3,Standard,medium,large
5939,1452,59,12/28/2017,December,TRUE,Approved,733.58,7/20/1993,327.98,1061.56,Standard,medium,large
5952,2109,87,12/28/2017,December,TRUE,Approved,44.71,5/22/2000,1592.19,1636.9,Standard,medium,medium
6462,3239,0,12/28/2017,December,TRUE,Approved,290.41,5/10/2005,72.6,363.01,Standard,low,medium
7169,2961,44,12/28/2017,December,FALSE,Approved,108.76,5/9/2011,1660.88,1769.64,Standard,medium,medium
7759,3054,25,12/28/2017,December,TRUE,Approved,829.65,2/4/2016,709.34,1538.99,Road,medium,medium
7934,2112,26,12/28/2017,December,FALSE,Approved,762.63,5/26/1993,1230.3,1992.93,Standard,medium,medium
8786,1983,75,12/28/2017,December,FALSE,Approved,863.95,1/25/1997,1010.02,1873.97,Touring,medium,large
9125,235,15,12/28/2017,December,FALSE,Approved,748.9,12/7/2005,209.84,958.74,Standard,low,medium
9375,1584,52,12/28/2017,December,TRUE,Approved,829.51,11/25/2001,450.77,1280.28,Road,medium,medium
10528,1758,67,12/28/2017,December,FALSE,Approved,376.84,10/22/2005,167.21,544.05,Road,medium,medium
11179,2120,28,12/28/2017,December,TRUE,Approved,1082.36,8/5/1991,133.78,1216.14,Standard,medium,small
11332,843,22,12/28/2017,December,FALSE,Approved,45.26,11/10/1991,15.08,60.34,Standard,medium,medium
12214,2168,94,12/28/2017,December,FALSE,Approved,993.66,1/16/2004,641.64,1635.3,Standard,medium,large
13508,2611,94,12/28/2017,December,TRUE,Approved,993.66,6/9/2013,641.64,1635.3,Standard,medium,large
13651,99,27,12/28/2017,December,FALSE,Approved,388.72,6/23/1999,110.81,499.53,Standard,medium,medium
13733,2479,19,12/28/2017,December,TRUE,Approved,7.21,3/8/2009,4.8,12.01,Road,high,large
14789,56,80,12/28/2017,December,TRUE,Approved,933.84,12/16/1998,139.23,1073.07,Touring,low,medium
15079,3452,12,12/28/2017,December,FALSE,Approved,161.6,7/20/1993,1069.55,1231.15,Standard,medium,medium
15958,533,54,12/28/2017,December,TRUE,Approved,13.44,4/12/2009,1279.4,1292.84,Standard,medium,medium
17574,605,34,12/28/2017,December,FALSE,Approved,464.72,12/19/1995,309.81,774.53,Road,high,large
18953,124,52,12/28/2017,December,TRUE,Approved,820.78,6/23/1999,957.02,1777.8,Road,medium,large
1498,2358,53,12/27/2017,December,TRUE,Approved,764.96,3/8/2009,509.97,1274.93,Standard,high,medium
3287,3114,8,12/27/2017,December,TRUE,Cancelled,1516.13,8/17/2004,187.39,1703.52,Road,medium,small
3292,3335,67,12/27/2017,December,TRUE,Approved,376.84,10/22/2005,167.21,544.05,Road,medium,medium
3335,739,34,12/27/2017,December,FALSE,Approved,464.72,3/18/2003,309.81,774.53,Road,high,large
3383,1999,14,12/27/2017,December,FALSE,Approved,1234.29,7/15/1993,152.55,1386.84,Standard,medium,small
3637,1495,22,12/27/2017,December,TRUE,Approved,431.45,3/8/2009,143.82,575.27,Standard,medium,medium
3671,3007,91,12/27/2017,December,FALSE,Approved,75.26,7/26/1999,25.09,100.35,Standard,medium,medium
3897,1703,43,12/27/2017,December,FALSE,Approved,649.49,7/28/2014,502.47,1151.96,Standard,medium,medium
4817,3475,50,12/27/2017,December,FALSE,Approved,131.92,2/16/2003,43.97,175.89,Standard,medium,small
5186,1795,89,12/27/2017,December,FALSE,Approved,57.74,4/20/1993,1305.25,1362.99,Touring,medium,large
6365,2731,85,12/27/2017,December,FALSE,Approved,205.36,12/16/1998,547.28,752.64,Standard,medium,medium
8439,2254,64,12/27/2017,December,TRUE,Approved,596.55,5/18/2012,872.89,1469.44,Standard,medium,large
8557,2379,54,12/27/2017,December,FALSE,Approved,13.44,7/21/2003,1279.4,1292.84,Standard,medium,medium
8780,613,85,12/27/2017,December,FALSE,Approved,400.91,5/22/2000,827.16,1228.07,Standard,medium,medium
8799,140,60,12/27/2017,December,TRUE,Approved,1759.85,8/24/2011,217.51,1977.36,Standard,high,small
9265,1571,21,12/27/2017,December,FALSE,Approved,380.74,8/5/1991,690.49,1071.23,Standard,medium,large
10124,1787,0,12/27/2017,December,FALSE,Approved,407.54,11/10/1991,135.85,543.39,Road,medium,medium
10274,189,24,12/27/2017,December,FALSE,Approved,820.78,5/7/2011,957.02,1777.8,Road,medium,large
11109,2786,91,12/27/2017,December,TRUE,Approved,75.26,7/26/1999,25.09,100.35,Standard,medium,medium
11684,1358,69,12/27/2017,December,FALSE,Approved,795.1,1/10/2011,445.21,1240.31,Road,medium,large
12336,2653,98,12/27/2017,December,TRUE,Approved,215.03,1/16/2004,143.36,358.39,Standard,high,medium
12596,1134,33,12/27/2017,December,TRUE,Approved,1167.18,10/11/1992,144.26,1311.44,Standard,medium,small
13207,2106,38,12/27/2017,December,TRUE,Approved,388.92,6/17/2015,1702.55,2091.47,Standard,medium,large
14365,725,61,12/27/2017,December,FALSE,Approved,521.94,8/7/2004,64.51,586.45,Standard,medium,small
15818,2751,7,12/27/2017,December,FALSE,Approved,1167.18,5/10/1997,144.26,1311.44,Standard,medium,small
16000,1413,29,12/27/2017,December,TRUE,Approved,407.54,11/22/2016,135.85,543.39,Road,medium,medium
16813,611,64,12/27/2017,December,TRUE,Approved,596.55,5/18/2012,872.89,1469.44,Standard,medium,large
17820,3197,89,12/27/2017,December,FALSE,Approved,582.48,6/7/2010,1230.27,1812.75,Standard,medium,large
18293,64,0,12/27/2017,December,TRUE,Approved,151.96,3/29/2016,50.66,202.62,Standard,medium,large
18550,1624,28,12/27/2017,December,FALSE,Approved,1082.36,11/10/1991,133.78,1216.14,Standard,medium,small
18830,215,0,12/27/2017,December,TRUE,Approved,270.3,12/6/2016,90.1,360.4,Standard,medium,medium
19693,1532,80,12/27/2017,December,FALSE,Approved,933.84,12/18/2004,139.23,1073.07,Touring,low,medium
1939,142,74,12/26/2017,December,TRUE,Approved,400.91,5/22/2000,827.16,1228.07,Standard,medium,medium
2487,1885,90,12/26/2017,December,FALSE,Approved,507.58,5/10/1997,437.46,945.04,Standard,low,medium
3391,350,28,12/26/2017,December,TRUE,Approved,1082.36,11/10/1991,133.78,1216.14,Standard,medium,small
4176,2458,38,12/26/2017,December,TRUE,Approved,388.92,8/24/2011,1702.55,2091.47,Standard,medium,large
4369,3494,82,12/26/2017,December,TRUE,Approved,829.65,2/4/2016,709.34,1538.99,Road,medium,medium
4704,3363,96,12/26/2017,December,FALSE,Approved,993.66,3/29/2016,641.64,1635.3,Standard,medium,large
4950,3013,29,12/26/2017,December,TRUE,Approved,230.09,11/3/2000,834.94,1065.03,Standard,medium,medium
5447,3275,19,12/26/2017,December,TRUE,Approved,7.21,3/8/2009,4.8,12.01,Road,high,large
6127,3080,98,12/26/2017,December,FALSE,Approved,101.58,2/9/1997,693.76,795.34,Standard,medium,medium
7947,1232,31,12/26/2017,December,FALSE,Approved,173.18,11/10/2006,57.73,230.91,Standard,medium,medium
8297,1722,78,12/26/2017,December,FALSE,Approved,709.48,7/25/2004,1055.82,1765.3,Standard,medium,large
8308,1767,92,12/26/2017,December,TRUE,Approved,1259.36,9/10/2003,155.65,1415.01,Standard,medium,small
8452,789,19,12/26/2017,December,TRUE,Approved,7.21,4/5/1996,4.8,12.01,Road,high,large
10476,2695,10,12/26/2017,December,FALSE,Approved,363.25,3/3/2014,1103.43,1466.68,Touring,medium,medium
11207,70,93,12/26/2017,December,TRUE,Approved,230.09,11/3/2000,834.94,1065.03,Standard,medium,medium
11466,2330,59,12/26/2017,December,FALSE,Approved,733.58,7/20/1993,327.98,1061.56,Standard,medium,large
11728,3048,67,12/26/2017,December,FALSE,Approved,376.84,10/22/2005,167.21,544.05,Road,medium,medium
12553,3044,88,12/26/2017,December,FALSE,Approved,381.1,1/5/2003,817.36,1198.46,Standard,medium,medium
12594,1253,46,12/26/2017,December,TRUE,Approved,74.51,12/11/2007,1215.34,1289.85,Standard,low,medium
13143,2464,37,12/26/2017,December,FALSE,Approved,248.82,7/20/1999,1544.61,1793.43,Standard,low,medium
13544,328,50,12/26/2017,December,FALSE,Approved,131.92,2/16/2003,43.97,175.89,Standard,medium,small
14294,2075,28,12/26/2017,December,FALSE,Approved,1082.36,8/5/1991,133.78,1216.14,Standard,medium,small
14796,1709,59,12/26/2017,December,TRUE,Approved,733.58,7/20/1993,327.98,1061.56,Standard,medium,large
15198,89,89,12/26/2017,December,TRUE,Approved,57.74,3/29/2016,1305.25,1362.99,Touring,medium,large
15338,465,2,12/26/2017,December,TRUE,Approved,53.62,12/2/2012,17.87,71.49,Standard,medium,medium
15691,1668,80,12/26/2017,December,TRUE,Approved,933.84,1/25/1997,139.23,1073.07,Touring,low,medium
16001,2418,51,12/26/2017,December,FALSE,Approved,1203.4,10/18/2015,802.26,2005.66,Standard,high,medium
16265,2730,59,12/26/2017,December,FALSE,Approved,733.58,7/20/1993,327.98,1061.56,Standard,medium,large
17042,1485,4,12/26/2017,December,TRUE,Approved,677.48,11/7/1991,451.65,1129.13,Standard,high,medium
17267,826,27,12/26/2017,December,FALSE,Approved,388.72,10/4/1997,110.81,499.53,Standard,medium,medium
17981,3446,69,12/26/2017,December,TRUE,Approved,594.68,10/2/1992,198.22,792.9,Road,medium,medium
18195,1084,35,12/26/2017,December,TRUE,Approved,154.4,7/12/1994,903.11,1057.51,Standard,low,medium
18726,2773,87,12/26/2017,December,FALSE,Approved,707.4,5/10/2005,471.6,1179,Standard,high,medium
18793,1014,76,12/26/2017,December,FALSE,Approved,513.85,1/25/1997,128.46,642.31,Standard,low,medium
19135,1143,51,12/26/2017,December,FALSE,Approved,1203.4,7/20/1993,802.26,2005.66,Standard,high,medium
19139,3356,25,12/26/2017,December,FALSE,Approved,829.65,3/22/2002,709.34,1538.99,Road,medium,medium
19146,538,44,12/26/2017,December,FALSE,Approved,108.76,6/4/2012,1660.88,1769.64,Standard,medium,medium
19321,2958,32,12/26/2017,December,FALSE,Approved,211.37,7/12/1994,431.33,642.7,Standard,medium,medium
1126,2597,0,12/25/2017,December,FALSE,Approved,312.74,6/4/2012,104.24,416.98,Road,medium,medium
1845,1184,93,12/25/2017,December,TRUE,Approved,230.09,11/3/2000,834.94,1065.03,Standard,medium,medium
2027,2106,9,12/25/2017,December,FALSE,Approved,1082.36,4/5/1996,133.78,1216.14,Standard,medium,small
2046,1054,8,12/25/2017,December,FALSE,Approved,1516.13,7/9/2016,187.39,1703.52,Road,medium,small
2683,2659,31,12/25/2017,December,TRUE,Approved,205.36,8/2/2015,547.28,752.64,Standard,medium,medium
2717,1540,95,12/25/2017,December,TRUE,Approved,528.43,8/10/1994,41.13,569.56,Standard,medium,large
3058,2301,26,12/25/2017,December,TRUE,Approved,762.63,5/26/1993,1230.3,1992.93,Standard,medium,medium
3175,1240,3,12/25/2017,December,FALSE,Approved,388.92,8/9/2005,1702.55,2091.47,Standard,medium,large
3354,2794,67,12/25/2017,December,TRUE,Approved,376.84,8/31/2002,167.21,544.05,Road,medium,medium
3558,2531,35,12/25/2017,December,TRUE,Approved,954.82,11/14/2016,448.68,1403.5,Standard,medium,medium
4439,3420,67,12/25/2017,December,TRUE,Approved,376.84,10/2/1992,167.21,544.05,Road,medium,medium
4649,768,4,12/25/2017,December,FALSE,Approved,677.48,8/17/2004,451.65,1129.13,Standard,high,medium
5257,2676,14,12/25/2017,December,TRUE,Approved,1234.29,5/5/2010,152.55,1386.84,Standard,medium,small
5327,1182,9,12/25/2017,December,FALSE,Approved,667.4,3/3/2014,75.14,742.54,Road,medium,medium
5701,3467,10,12/25/2017,December,FALSE,Approved,363.25,3/3/2014,1103.43,1466.68,Touring,medium,medium
6948,3065,33,12/25/2017,December,FALSE,Approved,1610.9,4/12/1993,199.1,1810,Road,medium,small
7057,322,54,12/25/2017,December,TRUE,Approved,13.44,10/18/2015,1279.4,1292.84,Standard,medium,medium
7142,1297,80,12/25/2017,December,FALSE,Approved,933.84,1/25/1997,139.23,1073.07,Touring,low,medium
8068,1926,92,12/25/2017,December,TRUE,Approved,260.14,7/20/1993,1630.25,1890.39,Touring,medium,large
8598,1617,71,12/25/2017,December,FALSE,Approved,1105.75,10/24/1995,737.17,1842.92,Standard,high,large
9640,2607,8,12/25/2017,December,TRUE,Approved,1516.13,8/17/2004,187.39,1703.52,Road,medium,small
