transaction_id,accm_txn_complete_time
411,5/30/2022
606,5/26/2022
748,5/28/2022
1033,5/28/2022
1697,5/30/2022
2074,5/30/2022
2285,5/27/2022
2950,5/31/2022
3254,5/24/2022
3938,5/30/2022
4669,5/28/2022
5651,5/27/2022
7311,5/27/2022
7518,5/28/2022
7547,5/24/2022
8111,5/25/2022
9158,5/27/2022
9820,5/26/2022
10905,5/26/2022
11701,5/26/2022
12453,5/30/2022
12667,5/25/2022
12826,5/24/2022
13575,5/24/2022
15270,5/26/2022
15757,5/27/2022
16166,5/29/2022
16258,5/29/2022
16759,5/31/2022
17182,5/25/2022
17394,5/24/2022
18609,5/29/2022
19346,5/28/2022
19907,5/28/2022
19959,5/26/2022
983,5/24/2022
1015,5/28/2022
1041,5/29/2022
2257,5/28/2022
4066,5/26/2022
5658,5/25/2022
6089,5/29/2022
6110,5/31/2022
6344,5/25/2022
6479,5/31/2022
7139,5/27/2022
7742,5/29/2022
8352,5/28/2022
9508,5/26/2022
10996,5/30/2022
11522,5/30/2022
11564,5/30/2022
11679,5/31/2022
13208,5/26/2022
13226,5/29/2022
13311,5/31/2022
13539,5/28/2022
13894,5/24/2022
14491,5/25/2022
15159,5/30/2022
15471,5/24/2022
15638,5/27/2022
16354,5/24/2022
16362,5/27/2022
17320,5/30/2022
17993,5/29/2022
18200,5/30/2022
18326,5/25/2022
18428,5/29/2022
18480,5/27/2022
18632,5/27/2022
18659,5/24/2022
18866,5/24/2022
19091,5/26/2022
19340,5/26/2022
19385,5/29/2022
19699,5/25/2022
260,5/25/2022
656,5/24/2022
750,5/26/2022
802,5/31/2022
1492,5/26/2022
1561,5/30/2022
1880,5/29/2022
2079,5/25/2022
2104,5/27/2022
2643,5/29/2022
2934,5/31/2022
4642,5/24/2022
4787,5/25/2022
4856,5/25/2022
4996,5/27/2022
5939,5/25/2022
5952,5/29/2022
6462,5/30/2022
7169,5/25/2022
7759,5/24/2022
7934,5/29/2022
8786,5/29/2022
9125,5/24/2022
9375,5/31/2022
10528,5/25/2022
11179,5/29/2022
11332,5/25/2022
12214,5/26/2022
13508,5/27/2022
13651,5/30/2022
13733,5/26/2022
14789,5/29/2022
15079,5/30/2022
15958,5/28/2022
17574,5/31/2022
18953,5/29/2022
1498,5/24/2022
3287,5/27/2022
3292,5/27/2022
3335,5/31/2022
3383,5/31/2022
3637,5/26/2022
3671,5/24/2022
3897,5/24/2022
